step,epoch,lossD,lossG,loss_gan,loss_spec,loss_fm,loss_evasion,inst_noise,delta,lambda_evasion,p_bona_mean
13800,5,-0.1071624755859375,-270.7186279296875,-278.0576171875,6.811135768890381,0.12081881612539291,0.40705636143684387,0.005030720749237532,0.005030720749237532,0.5866666666666667,0.49968189001083374
13900,5,-0.0937652587890625,-280.0239562988281,-285.56610107421875,5.042420387268066,0.08865954726934433,0.41108089685440063,0.004980661750923584,0.004980661750923584,0.5933333333333334,0.5003423690795898
14000,5,0.022272706031799316,-294.1567077636719,-299.357666015625,4.684233665466309,0.10064753144979477,0.41607168316841125,0.004931100872747307,0.004931100872747307,0.6,0.4999749958515167
14100,5,-0.116607666015625,-283.65411376953125,-290.46905517578125,6.277750015258789,0.11664777994155884,0.420569509267807,0.004882033158083914,0.004882033158083914,0.6066666666666667,0.49993613362312317
14200,5,-0.17942047119140625,-333.93609619140625,-341.1790771484375,6.692703723907471,0.1188247948884964,0.43143579363822937,0.004833453699630327,0.004833453699630327,0.6133333333333333,0.49264007806777954
14300,5,-0.1177825927734375,-291.71978759765625,-298.4228210449219,6.165707588195801,0.10560406744480133,0.4317454993724823,0.004785357638914373,0.004785357638914373,0.62,0.49904313683509827
14400,5,-0.021498918533325195,-298.5150146484375,-304.4475402832031,5.39744234085083,0.10030129551887512,0.43478110432624817,0.004737740165808883,0.004737740165808883,0.6266666666666667,0.4998204708099365
14500,5,-0.07555389404296875,-293.3973693847656,-298.06378173828125,4.154537677764893,0.07267811894416809,0.4391818046569824,0.004690596518050638,0.004690596518050638,0.6333333333333333,0.5000666379928589
14600,5,-0.138641357421875,-296.75531005859375,-302.91339111328125,5.611518859863281,0.10398994386196136,0.44255420565605164,0.004643921980764086,0.004643921980764086,0.64,0.5008680820465088
14700,5,-0.18163299560546875,-296.42633056640625,-302.965576171875,5.977233409881592,0.11352165788412094,0.44849610328674316,0.004597711885989807,0.004597711885989807,0.6466666666666666,0.4996885061264038
14800,5,0.04189200699329376,-339.47796630859375,-344.974853515625,4.9320502281188965,0.11156544089317322,0.4532710611820221,0.00455196161221767,0.00455196161221767,0.6533333333333333,0.4996267259120941
14900,5,-0.12792205810546875,-281.5166320800781,-288.80810546875,6.720556259155273,0.11307720839977264,0.45784100890159607,0.004506666583924616,0.004506666583924616,0.66,0.4998130202293396
15000,5,-0.07784271240234375,-291.0257263183594,-295.949951171875,4.3845696449279785,0.09484279155731201,0.4447786808013916,0.004461822271117069,0.004461822271117069,0.6666666666666666,0.5143862962722778
